Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2162305,2950,"BATERIA 3.6 V PARA VIDEOLARINGOSCOPIO, HOJAS DE LARINGOSCOPIO",AA-012NCD001-E507-2020,,2020-09-24 12:43,2020-09-17 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2376835,DEPARTAMENTO DE INGENIERÍA BIOMÉDICA,"DEPARTAMENTO DE INGENIERÍA BIOMÉDICA

",2020-09-17,2020-12-31,91822.5,MXN,Expirado,0,0,KME590502HY7,KENDALL DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1891737
SGM,Servicio Geológico Mexicano,SGM-Subgerencia de Adquisiciones #010LAU001,2147354,2950,REQ. 51 REFACCIÓN EQUIPO MERCK MODELO MILLIQ,AA-010LAU001-E100-2020,,2020-08-25 09:44,2020-08-17 15:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2375887,REFACCIÓN PARA EL SISTEMA DE PURIFICACIÓN DE AGUA DEL EQUIPO MERCK MODELO MILLIQ,REFACCIÓN PARA EL SISTEMA DE PURIFICACIÓN DE AGUA DEL EQUIPO MERCK MODELO MILLIQ,2020-08-17,2020-09-15,45051,MXN,Expirado,0,0,DMN000204244,DISTRIBUCION Y MANTENIMIENTO DEL NOROESTE SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1878605
IMSS,Instituto Mexicano del Seguro Social,"IMSS-Unidad Médica de Alta Especialidad, Hospital de GinecoObstetricia del Centro Médico Nacional de Occidente #050GYR079",2160338,2950,CONTRATACIÓN CONSUMIBLES FOCON 112,AA-050GYR079-E235-2020,,2020-09-18 15:58,2020-09-18 14:40,Internacional bajo TLC,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2375919,D0P0436 Expediente: 2160338 - CONTRATACIÓN CONSUMIBLES FOCON 112,"Contrato : 2375919 - D0P0436 Expediente: 2160338 - CONTRATACIÓN CONSUMIBLES FOCON 112

 ",2020-09-18,2020-09-28,23583.2,MXN,Expirado,0,0,VOC101220F18,VIASIS OCC SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890340
HIM,Hospital Infantil de México Federico Gómez,HIM-Departamento de Adquisiciones Generales #012NBG001,2153936,3540,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DIGITALIZADOR CR,AA-012NBG001-E75-2020,,2020-09-02 11:54,2020-09-02 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2376220,DATOS RELEVANTES DEL CONTRATO RM-MT-0210/20,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DIGITALIZADOR CR DE LA MARCA CARESTREAM,2020-09-01,2020-12-31,992000,MXN,Expirado,0,0,MSI990709DE9,MEDICA SILLER SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1884272
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2161572,3540,SERVICIO DE MANTENIMIENTO PREVENTIVO A SISTEMA DE EXTRACCION DE GRASAS,AA-012NCG001-E1081-2020,,2020-09-23 14:35,2020-09-11 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2376318,SERVICIO DE MANTENIMIENTO PREVENTIVO A SISTEMA DE EXTRACCION DE GRASAS,LUMAN ANALYTICAL AND MAINTENANCE SUPPORT,2020-09-14,2020-09-17,53820,MXN,Expirado,0,0,LAM050829KT3,LUMAN ANALYTICAL AND MAINTENANCE SUPPORT SA DE CV ,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1891178
IMSS,Instituto Mexicano del Seguro Social,IMSS-Jefatura de Servicios Administrativos #050GYR002,2150077,3540,LA-050GYR002-E303-2020 MANTENIMIENTOS PREVENTIVOS Y CORRECTIVOS EQUIPO,LA-050GYR002-E303-2020,2020-09-29,2020-09-10 00:11,2020-09-25 13:00,Nacional,Servicios,LICITACIÓN PÚBLICA,Electrónica,2385081,C0M0109 LA-050GYR002-E303-2020 MANTENIMIENTOS PREVENTIVOS Y CORRECTIVOS EQUIPO,"LA-050GYR002-E303-2020 MANTENIMIENTOS PREVENTIVOS Y CORRECTIVOS EQUIPO

",2020-10-01,2020-12-31,622560,MXN,Expirado,0,0,SIT180531P45,SOLUCIONES INTEGRALES DE TRANSPORTACION VERTICAL EN MEXICO SITRAVEM SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1880954
INP,Instituto Nacional de Pediatría,INP-Dirección de Administración #012NCZ001,2161035,2950,ADQUISICION DE REFACCIONES Y ACCESORIOS MENORES DE EQUIPO E INSTRUMENTAL MEDICO ,AA-012NCZ001-E823-2020,,2020-09-23 10:53,2020-09-10 11:30,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2375869,ADQUISICION DE REFACCIONES Y ACCESORIOS MENORES DE EQUIPO E INSTRUMENTAL MEDICO Y DE LABORATORIO,"ADQUISICION DE REFACCIONES Y ACCESORIOS MENORES DE EQUIPO E INSTRUMENTAL MEDICO Y DE LABORATORIO

",2020-09-11,2021-03-08,28450.64,MXN,Expirado,0,0,CSC881010JPA,CENTRO DE SOPORTE CONTINUO MAQUINARIA Y EQUIPO SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890767
HIM,Hospital Infantil de México Federico Gómez,HIM-Departamento de Adquisiciones Generales #012NBG001,2153871,3540,"SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO PACS RIS, CARESTREAM ",AA-012NBG001-E74-2020,,2020-09-02 11:33,2020-09-02 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375921,DATOS RELEVANTES DEL CONTRATO RM-MT-0211/20,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO PACS RIS DE LA MARCA CARESTREAM,2020-09-01,2020-12-31,4480000,MXN,Expirado,0,0,MSI990709DE9,MEDICA SILLER SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1884247
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2160857,3540,SERVICIO DE MANTENIMIENTO PREVENTIVO/CORRECTIVO A LAVADORA DE CAJAS,AA-012NCG001-E1070-2020,,2020-10-07 11:44,2020-09-09 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375742,SERVICIO DE MANTENIMIENTO PREVENTIVO/CORRECTIVO A LAVADORA DE CAJAS, SERVICIO DE MANTENIMIENTO PREVENTIVO/CORRECTIVO A LAVADORA DE CAJAS,2020-09-10,2020-09-15,135000,MXN,Expirado,0,0,,YOLANDA HERNANDEZ ESTEBAN,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890659
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2160933,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO A MARCAPASOS,AA-012NCG001-E1074-2020,,2020-09-23 11:02,2020-09-01 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375810,SERVICIO DE MANTENIMIENTO CORRECTIVO A MARCAPASOS,"SERVICIO DE MANTENIMIENTO CORRECTIVO A MARCAPASOS

 ",2020-09-07,2020-09-10,437570,MXN,Expirado,0,0,TCA990324K79,TECNOLOGIA CARDIOVASCULAR,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890781
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2160869,3540,SERVICIO DE MANTENIMIENTO Y ACTUALIZACION A ESTERILIZADORA DE VAPOR ,AA-012NCG001-E1071-2020,,2020-09-23 08:51,2020-09-09 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375749,SERVICIO DE MANTENIMIENTO Y ACTUALIZACION A ESTERILIZADORA DE VAPOR,SERVICIO DE MANTENIMIENTO Y ACTUALIZACION A ESTERILIZADORA DE VAPOR ,2020-09-10,2020-09-20,300000,MXN,Expirado,0,0,,YOLANDA HERNANDEZ ESTEBAN,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890664
